TICKER,PUBLICATION_DATE,SUMMARY
TSLA,2018-03-28 19:11:19 +0000,"The National Transportation Safety Board said Tuesday it had sent a team to investigate the crash near Mountain View, California that led to the death of a Tesla driver.  The two federal agencies in January sent teams to review a Tesla crash but has not released any findings.  Tesla did not offer a comment on the NHTSA probe, but said Tuesday in a blog post that it did not know the cause of the March 23 crash and had offered assistance to investigators."
TSLA,2018-03-28 19:00:00 +0000,"On the heels of a federal safety investigation, the ratings agency drops Tesla a notch to B3 because of looming maturities."
TSLA,2018-03-28 18:50:36 +0000,What happened When it rains it pours and shares of Tesla NASDAQ TSLA a vertically integrated sustainable energy company most well known for its electric vehicles are down 9 as of 11 25 a m EDT Wednesday after a number of negative announcements are weighing on
TSLA,2018-03-28 18:50:36 +0000,What happened When it rains it pours and shares of Tesla NASDAQ TSLA a vertically integrated sustainable energy company most well known for its electric vehicles are down 9 as of 11 25 a m EDT Wednesday after a number of negative announcements are weighing on
TSLA,2018-03-28 18:43:00 +0000,"The answer is no. Tesla is becoming affordable, but it is not a great retirement stock."
TSLA,2018-03-28 18:18:00 +0000,"One CIO says he's 'never seen anything so absurd,' but bulls expect Musk to defy the odds again."
TSLA,2018-03-28 17:54:51 +0000,"The U.S. National Highway Traffic  Safety Administration said on Wednesday it is sending a team to  investigate a fatal Tesla crash and fire in California last  week, a spokeswoman for the auto safety regulator said on  Wednesday.  The National Transportation Safety Board said Tuesday it had  sent a team to investigate the crash near Mountain View,  California that led to the death of a Tesla driver.  The two  federal agencies in January sent teams to review a Tesla crash."
TSLA,2018-03-28 17:52:34 +0000,"Tesla Inc shares  fell sharply again on Wednesday, reeling from a credit downgrade  of the electric car maker by Moody's Investors Service, federal  probes of a fatal crash and concerns about Model 3 production.  On Tuesday, Tesla  tumbled 8.2 percent to its lowest close in almost a year after  the U.S. National Transportation Safety Board (NTSB) opened a  field investigation into a fatal crash and vehicle fire in  California on March 23.  On Wednesday, a second federal regulator, the National  Highway Transportation Safety Administration (NHTSA), said it  was sending a team to California to investigate the crash."
TSLA,2018-03-28 17:52:00 +0000,"Bruce Clark, Moodyâ€™s, discusses why his firm downgraded Tesla stock."
TSLA,2018-03-28 17:51:40 +0000,Legendary investor Warren Buffett advises to be fearful when others are greedy and be greedy when others are fearful One way we can try to measure the level of fear in a given stock is through a technical analysis indicator called the Relative Strength Index or RSI which measures momentum on
TSLA,2018-03-28 17:51:40 +0000,Legendary investor Warren Buffett advises to be fearful when others are greedy and be greedy when others are fearful One way we can try to measure the level of fear in a given stock is through a technical analysis indicator called the Relative Strength Index or RSI which measures momentum on
TSLA,2018-03-28 17:22:28 +0000,U S stocks were struggling for direction on Wednesday as heavy losses in the technology and consumer discretionary sectors were offset by gains in health care and consumer staple stocks Fresh off Tuesday s selling frenzy in the Nasdaq the tech sector is clinging to a small gain with
TSLA,2018-03-28 17:22:28 +0000,U S stocks were struggling for direction on Wednesday as heavy losses in the technology and consumer discretionary sectors were offset by gains in health care and consumer staple stocks Fresh off Tuesday s selling frenzy in the Nasdaq the tech sector is clinging to a small gain with
TSLA,2018-03-28 17:14:12 +0000,"Tesla Inc.'s stock plunge has lopped over $14.5 billion off the electric car maker's market capitalization this month, and has slashed the value of co-Founder and Chief Executive Elon Musk's stake by nearly ..."
TSLA,2018-03-28 17:07:53 +0000,Markets are suffering and the tech sector is at the helm of the carnage with share prices of all major players taking a beating Needless to say tech stocks have seen a sharp decline since the beginning of last week with Facebook Inc FB leading the rout after it was accused of a data
TSLA,2018-03-28 17:07:53 +0000,Markets are suffering and the tech sector is at the helm of the carnage with share prices of all major players taking a beating Needless to say tech stocks have seen a sharp decline since the beginning of last week with Facebook Inc FB leading the rout after it was accused of a data
TSLA,2018-03-28 17:07:00 +0000,A wave of negative headlines and incidents are causing Tesla&apos;s shares to continue moving lower.
TSLA,2018-03-28 16:57:26 +0000,The Nasdaq Composite index pared losses on Wednesday as gains in Microsoft and Facebook helped lessen the impact of Amazon's losses. The online retailer's stock fell about 3.6 percent after reports that ...
TSLA,2018-03-28 16:50:41 +0000,Tesla shares continue to tumble as questions swirl around a fatal accident https://bloom.bg/2J0UN6R #tictocnews (Source: Bloomberg)
TSLA,2018-03-28 16:09:19 +0000,After rebounding strongly from an early February market selloff the technology sector is once again caught in wild trading thanks to the decline in FANG stocks This is especially true as the NYSE FANG index which tracks the 10 biggest and most active tech stocks in the world slipped
TSLA,2018-03-28 16:09:19 +0000,After rebounding strongly from an early February market selloff the technology sector is once again caught in wild trading thanks to the decline in FANG stocks This is especially true as the NYSE FANG index which tracks the 10 biggest and most active tech stocks in the world slipped
TSLA,2018-03-28 16:09:00 +0000,Markets closed in the red once again on Tuesday after staging a rebound in the previous session The sharp decline was fueled by a selloff in the tech sector which saw all three major indices suffering their fourth decline in five sessions Facebook s shares continued to plummet even as
TSLA,2018-03-28 16:09:00 +0000,Markets closed in the red once again on Tuesday after staging a rebound in the previous session The sharp decline was fueled by a selloff in the tech sector which saw all three major indices suffering their fourth decline in five sessions Facebook s shares continued to plummet even as
TSLA,2018-03-28 16:06:33 +0000,In early trading on Wednesday shares of Shire SHPG topped the list of the day s best performing components of the Nasdaq 100 index trading up 17 6 Year to date Shire has lost about 2 3 of its value And the worst performing Nasdaq 100 component thus far on the day is Amazon
TSLA,2018-03-28 16:06:33 +0000,In early trading on Wednesday shares of Shire SHPG topped the list of the day s best performing components of the Nasdaq 100 index trading up 17 6 Year to date Shire has lost about 2 3 of its value And the worst performing Nasdaq 100 component thus far on the day is Amazon
TSLA,2018-03-28 16:00:00 +0000,Bob Pisani breaks down why tech stocks are so important to the market right now.
TSLA,2018-03-28 15:50:20 +0000,"The Nasdaq Composite index was sharply  lower on Wednesday, dragged down by losses in Amazon and tech  heavyweights such as Apple and Intel.  Amazon fell more than 5 percent after reports that  President Donald Trump was looking to target the company by  changing its tax treatment."
TSLA,2018-03-28 15:50:00 +0000,"The decline is continuing Wednesday, with Tesla's 5.30% notes down to a price of $87.75, which results in a yield to maturity of 7.49%.  As Noreen commented then in Up and Down Wall Street, the deal was better for Tesla than investors in its debt.  By exploiting the then-strong high-yield bond market, Tesla was able to net a borrowing cost more consistent with top-tier junk credits."
TSLA,2018-03-28 15:30:00 +0000,Tesla Extending Sell-Off After Moody's Cuts Credit Rating
TSLA,2018-03-28 15:30:00 +0000,Tesla Extending Sell-Off After Moody's Cuts Credit Rating
TSLA,2018-03-28 15:28:44 +0000,"Tesla will soon need money again. The trouble is, raising it suddenly looks a lot more challenging."
TSLA,2018-03-28 15:13:00 +0000,Morgan Stanley warns Tesla shareholders to brace for more volatility in the company's stock.
TSLA,2018-03-28 15:08:03 +0000,"Shares of Tesla Inc. sank 8.4% in morning trade Wednesday toward a one-year low, extending the previous session's 8.2% tumble, amid growing liquidity concerns and after the National Transportation Safety ..."
TSLA,2018-03-28 14:53:00 +0000,"The electric car maker's bond issued last year and maturing in 2025 sinks, sending the yield above 7 percent."
TSLA,2018-03-28 14:44:00 +0000,"Discover the largest single shareholders of Tesla Motors, and learn about their backgrounds and how much their shares are worth."
TSLA,2018-03-28 14:37:00 +0000,"SharesÂ ofÂ TeslaÂ (TSLA) are lower on Wednesday, after Moody's Investor Service downgraded the electric car maker's debt, citing production issues.  Today's drop follows yesterday's rout, spurred by an investigation into a crash and concerns about the future of autonomous driving, and the selloff in its bonds.  NatAlliance's  Andrew BrennerÂ writes that Tesla bonds are being offered with yields as high as 7.5% following the Moody's downgrade, a new price low for Tesla in the junk bond market, as yields and price move in opposite directions."
TSLA,2018-03-28 14:29:02 +0000,The Tech sector has been driving the markets this year and was one of the significant beneficiaries of a roaring rally last year. So it will not be too ambitious to expect a rebound in the near term.
TSLA,2018-03-28 14:24:42 +0000,"The Nasdaq Composite index fell on  Wednesday, dragged down by losses in Amazon and Apple, while  gains in healthcare stocks propped up the Dow and the S&P 500.  Amazon fell more than 5 percent after reports that  President Donald Trump is looking to target the company by  changing its tax treatment."
TSLA,2018-03-28 14:24:00 +0000,"Tesla shares moved sharply lower after Moody's downgraded its debt, but traders will be watching these key levels ahead."
TSLA,2018-03-28 14:15:00 +0000,"Elon needs to sell stock. I said that in my Forbes column Monday, I said that in my Forbes column Tuesday, and I am saying that again today. Will he do it? I donâ€™t know."
TSLA,2018-03-28 14:12:02 +0000,"Markets closed in the red once again on Tuesday, after staging a rebound in the previous session."
TSLA,2018-03-28 13:51:21 +0000,US stock futures were struggling to stay positive after surrendering early gains as Tuesday s trouncing coupled with the continued fallout against Facebook from the Cambridge Analytica fiasco continues to plague Wall Street Although Facebook enjoyed a short covering bounce pre market gains
TSLA,2018-03-28 13:51:21 +0000,US stock futures were struggling to stay positive after surrendering early gains as Tuesday s trouncing coupled with the continued fallout against Facebook from the Cambridge Analytica fiasco continues to plague Wall Street Although Facebook enjoyed a short covering bounce pre market gains
TSLA,2018-03-28 13:43:49 +0000,"Stocks were off to a volatile start Wednesday, as Apple slipped and Amazon and Tesla dived."
TSLA,2018-03-28 13:41:00 +0000,Let's see what's going on under the hood.
TSLA,2018-03-28 13:36:00 +0000,"Tesla shares have shed more than 11.5% so far this year, with investors growing increasingly concerned over safety and liquidity issues at the iconic clean-energy carmaker."
TSLA,2018-03-28 13:34:00 +0000,"Tesla shares continue to be under severe pressure as it fumbles again on several fronts. Stock markets, too, continue to look wobbly as investors digest a fresh rout in tech stocks."
TSLA,2018-03-28 13:33:00 +0000,"Much like its software ecosystem, the hardware support Nvidia claims for its server products is nothing to scoff at, as its latest announcements show."
TSLA,2018-03-28 13:28:08 +0000,"Among the companies with shares expected to trade actively in Wednesday's session are Facebook, Alphabet, Apple, Tesla, Walgreens Boots Alliance and Nike."
TSLA,2018-03-28 13:13:00 +0000,"In developing its first all-electric model, engineers at Jaguar Land Rover delivered a driverâ€™s car â€“ 394 horsepower, top speed of 124 miles per hour, 0 to 60 in 4.5 seconds and a range of 240 miles."
TSLA,2018-03-28 13:03:23 +0000,"Facebook has lost more than $100 billion in market  value since March 16, when it first acknowledged that user data  had been improperly harvested by a consultancy firm.  The stock was up 0.6 percent in premarket trading after the  social network said it was giving users more control over their  privacy by making data management easier and redesigning the  settings menu."
TSLA,2018-03-28 12:45:00 +0000,"Tesla shares are under pressure as the company's liquidity becomes an issue, as well as regulatory scrutiny over autonomous driving."
TSLA,2018-03-28 12:11:08 +0000,Why Auto Stocks Fell in Week 3 of March 2018Global trade war concerns
TSLA,2018-03-28 12:10:00 +0000,"NEW YORK, NY / ACCESSWIRE / March 28, 2018 / Tesla shares were deep in the red yesterday after the U.S. National Transportation Safety Board said it is conducting an investigation on an accident that took ..."
TSLA,2018-03-28 12:06:50 +0000,"Of all Teslaâ€™s safety features, the most important is the equity cushion. As the electric carmaker hits the skids, there are new questions about its reliability. Traditional credit investors have always ..."
TSLA,2018-03-28 12:00:51 +0000,Mar.28 -- Bloomberg Gadfly columnist Brooke Sutherland and Bloomberg's Vincent Cignarella discuss an investigation into a Tesla crash and what it may mean for the company. They speak with David Westin and Julia Chatterley on &quot;Bloomberg Daybreak: Americas.&quot; (Sutherland is a Bloomberg Gadfly columnist. The opinions expressed are her own.)
TSLA,2018-03-28 11:55:00 +0000,U.S. stock futures turn higher Wednesday following selloff in the technology sector; Oracle wins a round in its legal battle with Google; Tesla's debt rating is downgraded.
TSLA,2018-03-28 11:53:00 +0000,Moody's has downgraded its corporate rating on Tesla citing production woes for the Model 3 and liquidity pressures.
TSLA,2018-03-28 11:49:00 +0000,Tesla has lost 27% of its value since peaking out last year before it started producing the Model 3. Now Moody's has downgraded its debt rating six levels -- is the Elon Musk spell being broken?
TSLA,2018-03-28 11:41:24 +0000,"A fatal crash and vehicle fire of a Tesla Inc  Model X near Mountain View, California, last week has prompted a federal field investigation, the U.S. National Transportation Safety Board said on Tuesday. As Kate King reports, it triggered a big selloff in not only Tesla stock, but battery maker Panasonic as well."
TSLA,2018-03-28 11:30:15 +0000,Fixed-income investors are suddenly less sanguine about the risks.
TSLA,2018-03-27 21:13:12 +0000,Waymo the self driving subsidiary of Alphabet NASDAQ GOOG NASDAQ GOOGL announced that it will begin rolling out a new autonomous ride hailing service in U S cities later this year and its riders will be able to select a self driving version of Jaguar s new electric I
TSLA,2018-03-27 21:13:12 +0000,Waymo the self driving subsidiary of Alphabet NASDAQ GOOG NASDAQ GOOGL announced that it will begin rolling out a new autonomous ride hailing service in U S cities later this year and its riders will be able to select a self driving version of Jaguar s new electric I
